iter	MAPE	RMSE
0	0.6508662064	86232.94629
1	0.5610100332	74894.39529
2	0.4853717378	65294.89558
3	0.424378683	57223.03734
4	0.3728504421	50385.87131
5	0.328603884	44699.79051
6	0.2936039052	40077.51695
7	0.2648923373	36244.81678
8	0.2409323459	32841.8953
9	0.2238322018	30109.01819
10	0.2065377937	27919.00218
11	0.1935805316	26122.52653
12	0.1831062229	24507.78737
13	0.1741872957	23287.60354
14	0.1655437468	22326.59404
15	0.1593828665	21506.12482
16	0.1544125631	20742.38793
17	0.1504739485	20156.71713
18	0.1455382415	19687.02148
19	0.1429154623	19194.01681
20	0.1394709731	18799.82348
21	0.1367675025	18529.02606
22	0.1341843787	18245.22904
23	0.1317110351	18025.56062
24	0.1289817916	17800.19688
25	0.1269766854	17601.01294
26	0.1253087239	17442.11689
27	0.123931916	17288.34182
28	0.1221904997	17156.83236
29	0.1211834902	17032.13925
30	0.1196364317	16795.80768
31	0.1187994301	16669.81629
32	0.1180972497	16549.18371
33	0.1169442453	16379.77043
34	0.1160874336	16285.75082
35	0.1153227976	16138.90023
36	0.1144604197	16033.96956
37	0.1134235478	15889.04213
38	0.1123470173	15800.96482
39	0.1117508721	15660.65571
40	0.11100804	15585.04511
41	0.1104425152	15478.46813
42	0.1095461653	15364.84399
43	0.1089825557	15246.78292
44	0.1083671666	15178.13871
45	0.1078376909	15141.64877
46	0.1069639718	15053.78586
47	0.1064621608	14949.55702
48	0.1059679488	14852.64526
49	0.1048432957	14789.65144
50	0.1039560741	14700.15215
51	0.1036174678	14635.7481
52	0.1034691438	14590.92723
53	0.102683696	14532.94233
54	0.1018574433	14472.45186
55	0.1015356797	14420.58456
56	0.1008908811	14346.37181
57	0.100484551	14286.6223
58	0.1002019404	14220.84834
59	0.09987902143	14167.63664
60	0.09977824659	14104.80336
61	0.09933656175	14040.71893
62	0.09868046651	13978.2394
63	0.0977805743	13912.32612
64	0.09724075671	13859.62378
65	0.0967398696	13808.44288
66	0.09663146369	13763.54454
67	0.09649916195	13720.55899
68	0.0962070625	13683.95153
69	0.09581343958	13645.6988
70	0.09464244373	13580.3318
71	0.09445417321	13518.43124
72	0.09418561125	13479.68306
73	0.09370018433	13418.47809
74	0.09343897852	13363.80623
75	0.09308304935	13322.25327
76	0.09230900081	13259.00288
77	0.09179065884	13200.17107
78	0.09135864088	13145.3472
79	0.09120472394	13120.87538
80	0.09079700082	13065.32704
81	0.09060323469	13046.53474
82	0.08989493575	12994.27836
83	0.08954207896	12957.32095
84	0.08886154334	12905.69177
85	0.08885653928	12855.97108
86	0.08859359783	12825.45877
87	0.08821958885	12791.05736
88	0.08738912993	12745.21878
89	0.08724632685	12705.67387
90	0.08704066739	12675.96238
91	0.08677477026	12636.83123
92	0.08614757826	12600.74829
93	0.08575767772	12563.59893
94	0.08538877444	12521.04972
95	0.08535065294	12488.74599
96	0.08462319771	12451.92758
97	0.08462986048	12431.12719
98	0.08437705013	12405.03053
99	0.08400727426	12370.50108
100	0.08342425565	12350.16436
101	0.08297057784	12306.86648
102	0.08290040166	12279.32458
103	0.08249121599	12255.64795
104	0.0822185997	12232.28792
105	0.08150089287	12186.63563
106	0.08096072931	12144.37042
107	0.08051044357	12117.93969
108	0.08049334222	12085.54376
109	0.08032928734	12055.69976
110	0.08006394598	12030.85845
111	0.07978614059	12000.92409
112	0.07918302555	11976.67735
113	0.07880104634	11954.51408
114	0.07816012329	11925.74197
115	0.07792336067	11901.45932
116	0.07778459988	11881.17361
117	0.07705910812	11861.01089
118	0.07661049307	11830.65901
119	0.07654021264	11807.83591
120	0.07624897325	11794.91993
121	0.07619112876	11768.62362
122	0.07610489934	11748.71832
123	0.07584280321	11732.39236
124	0.07549211044	11703.9129
125	0.07499686454	11677.01217
126	0.07482510104	11663.55721
127	0.07446102871	11638.72903
128	0.07423062637	11623.05171
129	0.0737668181	11608.57725
130	0.07374182054	11585.75145
131	0.07338598123	11565.2767
132	0.07322456528	11549.61169
133	0.07269477491	11527.97623
134	0.07251506291	11513.41664
135	0.07215777182	11502.36787
136	0.07212754997	11481.02942
137	0.07199451813	11465.14708
138	0.07190359233	11443.20223
139	0.07184031816	11418.49834
140	0.0715418167	11402.2693
141	0.07153261878	11391.55753
142	0.07124042779	11373.06846
143	0.07088587236	11351.87447
144	0.0707527643	11338.44719
145	0.07042275654	11320.37367
146	0.07040804153	11295.51912
147	0.07025405501	11281.58204
148	0.07013334019	11270.30934
149	0.07008342164	11255.55191
150	0.06976469001	11245.08952
151	0.06971930384	11225.69933
152	0.06962177181	11215.86276
153	0.06931436886	11199.17623
154	0.06904249897	11185.12642
155	0.06881453328	11168.12749
156	0.06880397535	11160.26586
157	0.06847728457	11138.42824
158	0.06820227347	11123.20695
159	0.06800416301	11108.10632
160	0.06781884226	11098.9514
161	0.06771769926	11090.02858
162	0.0676873531	11069.22159
163	0.06749053858	11060.35127
164	0.06728424811	11046.41396
165	0.06721716104	11041.66699
166	0.06696565559	11027.00811
167	0.06654991411	11009.66628
168	0.06652465686	10994.8866
169	0.066287927	10983.28015
170	0.06609732824	10967.97382
171	0.06580294095	10957.90741
172	0.06577252076	10940.11838
173	0.06566633813	10931.6273
174	0.06543395129	10920.4017
175	0.06532101208	10912.69706
176	0.0651287378	10900.43274
177	0.0649947274	10890.08557
178	0.06477075472	10875.75015
179	0.06460264552	10868.92609
180	0.0640811012	10848.24694
181	0.0640395975	10832.54479
182	0.06379787271	10818.90415
183	0.06377214434	10810.37284
184	0.06367271774	10806.23953
185	0.06347098082	10797.61674
186	0.06340424017	10785.50923
187	0.06337358617	10777.16299
188	0.06315444375	10765.48672
189	0.06310664252	10750.81658
190	0.06289980371	10741.72395
191	0.06275726627	10733.81616
192	0.06245041031	10721.48876
193	0.06236324547	10711.35443
194	0.06221264181	10701.98367
195	0.06201182366	10691.71301
196	0.06192212631	10686.14796
197	0.06175886205	10676.03694
198	0.06165666969	10669.61601
199	0.06157455487	10664.11472
200	0.061441791	10656.71881
201	0.06134331015	10651.56364
202	0.06117434854	10643.86635
203	0.06112394615	10635.77645
204	0.06085976293	10627.70303
205	0.06070126009	10621.84297
206	0.06046469033	10613.92535
207	0.0603788633	10609.11943
208	0.06027835171	10604.03543
209	0.06001796937	10595.30207
210	0.05995423246	10586.36331
211	0.05992799028	10574.76575
212	0.05988239384	10568.28272
213	0.05986736313	10557.56186
214	0.05981885269	10550.24262
215	0.05967117086	10544.11818
216	0.0596198692	10537.18823
217	0.05960270091	10530.45889
218	0.05959524237	10514.85435
219	0.05952657167	10508.61655
220	0.05939836387	10501.27989
221	0.05926613709	10498.51561
222	0.05919490554	10494.3949
223	0.05902835674	10488.08504
224	0.05879910533	10480.55836
225	0.05878012279	10467.60598
226	0.05856607669	10459.44783
227	0.0585274237	10453.70407
228	0.05827183768	10445.06984
229	0.0581811648	10441.06695
230	0.05817173159	10433.6327
231	0.05807985806	10428.72422
232	0.05782418345	10419.62714
233	0.05781941321	10415.25294
234	0.05779393625	10411.85208
235	0.05778138816	10401.66892
236	0.05777614686	10394.82813
237	0.05773890611	10385.75327
238	0.05765513461	10382.51521
239	0.05759296463	10373.22258
240	0.05749299424	10366.4932
241	0.05744503373	10363.35663
242	0.05727809361	10356.54953
243	0.05719570905	10348.97295
244	0.05697776451	10342.47553
245	0.0568151985	10337.13165
246	0.05680741535	10332.88527
247	0.05678135037	10328.529
248	0.05677393049	10324.05374
249	0.05665707456	10319.82807
250	0.05644588183	10311.17509
251	0.05641249991	10304.95494
252	0.05621113083	10299.49484
253	0.05617418012	10294.53251
254	0.05614944218	10285.5815
255	0.05611318654	10281.35688
256	0.05608017782	10278.11506
257	0.05595480877	10271.85873
258	0.05593069516	10269.42136
259	0.05590911426	10265.46379
260	0.05588042196	10260.2307
261	0.05583997359	10255.95982
262	0.05577153823	10250.61002
263	0.05567275688	10245.43831
264	0.0555428077	10238.39373
265	0.05543364341	10234.68087
266	0.05536176378	10230.55529
267	0.05535621244	10223.68746
268	0.05525090147	10220.63545
269	0.05523170264	10215.75778
270	0.05517061117	10212.48846
271	0.0550737761	10208.42189
272	0.0550408179	10201.78017
273	0.05503503381	10196.47373
274	0.05483845283	10190.45384
275	0.05479696688	10187.45885
276	0.05470966732	10183.82145
277	0.05469383084	10180.41816
278	0.05464660756	10177.31481
279	0.05464394066	10171.90821
280	0.05464006873	10168.84897
281	0.05451149447	10164.72661
282	0.05432508139	10159.3857
283	0.05430897719	10155.33161
284	0.0541372534	10149.53772
285	0.05408012761	10143.63462
286	0.05400321487	10139.63954
287	0.05389432646	10135.98345
288	0.05383326971	10132.43908
289	0.05369717796	10128.1449
290	0.0535583122	10123.57267
291	0.05352894622	10119.70089
