iter	Passed	Remaining
0	159	95471
1	312	93503
2	474	94354
3	624	93029
4	799	95189
5	953	94374
6	1119	94835
7	1272	94135
8	1434	94183
9	1588	93697
10	1757	94080
11	1907	93468
12	2071	93520
13	2220	92946
14	2373	92565
15	2516	91851
16	2676	91774
17	2837	91740
18	3012	92129
19	3173	92022
20	3345	92236
21	3502	92029
22	3673	92146
23	3833	92003
24	4013	92303
25	4175	92183
26	4349	92296
27	4514	92223
28	4688	92310
29	4846	92086
30	5026	92253
31	5194	92205
32	5376	92377
33	5540	92233
34	5717	92304
35	5887	92231
36	6060	92217
37	6225	92071
38	6399	92060
39	6563	91882
40	6737	91865
41	6911	91830
42	7082	91738
43	7245	91552
44	7418	91499
45	7577	91256
46	7756	91263
47	7926	91159
48	8106	91159
49	8277	91047
50	8464	91117
51	8623	90880
52	8799	90820
53	8964	90644
54	9143	90607
55	9311	90450
56	9503	90537
57	9668	90348
58	9846	90288
59	10014	90128
60	10185	89996
61	10347	89786
62	10515	89634
63	10690	89533
64	10859	89378
65	11013	89112
66	11188	89006
67	11352	88816
68	11524	88685
69	11686	88482
70	11862	88385
71	12028	88208
72	12202	88091
73	12388	88056
74	12567	87971
75	12738	87830
76	12900	87623
77	13100	87675
78	13328	87898
79	13532	87963
80	13716	87886
81	13901	87817
82	14070	87642
83	14235	87443
84	14411	87317
85	14628	87430
86	14788	87199
87	14959	87038
88	15124	86835
89	15302	86713
90	15465	86504
91	15635	86336
92	15798	86127
93	15973	85983
94	16140	85799
95	16319	85675
96	16486	85489
97	16669	85388
98	16854	85295
99	17018	85092
100	17182	84893
101	17357	84744
102	17530	84587
103	17694	84386
104	17906	84415
105	18077	84248
106	18248	84079
107	18413	83882
108	18587	83729
109	18760	83570
110	18951	83488
111	19121	83314
112	19301	83182
113	19469	83002
114	19641	82837
115	19798	82605
116	19971	82446
117	20153	82322
118	20386	82401
119	20564	82259
120	20752	82152
121	20920	81968
122	21093	81801
123	21283	81702
124	21482	81631
125	21687	81585
126	21858	81410
127	22039	81269
128	22205	81076
129	22381	80916
130	22545	80714
131	22724	80567
132	22892	80383
133	23075	80249
134	23239	80046
135	23437	79963
136	23625	79844
137	23810	79714
138	23992	79572
139	24181	79454
140	24368	79326
141	24542	79158
142	24720	79001
143	24889	78818
144	25063	78646
145	25247	78509
146	25417	78326
147	25592	78161
148	25755	77957
149	25927	77783
150	26086	77569
151	26256	77388
152	26417	77179
153	26589	77005
154	26760	76827
155	26943	76685
156	27106	76485
157	27287	76335
158	27448	76131
159	27629	75981
160	27795	75790
161	28001	75708
162	28199	75602
163	28416	75545
164	28619	75450
165	28817	75341
166	29028	75265
167	29217	75130
168	29389	74951
169	29560	74770
170	29730	74588
171	29927	74470
172	30095	74281
173	30282	74139
174	30461	73978
175	30639	73812
176	30813	73638
177	30980	73447
178	31183	73341
179	31375	73209
180	31558	73056
181	31733	72881
182	31914	72722
183	32077	72523
184	32269	72388
185	32445	72217
186	32625	72054
187	32795	71871
188	32964	71684
189	33142	71518
190	33312	71333
191	33495	71178
192	33663	70990
193	33840	70821
194	34014	70645
195	34189	70472
196	34350	70269
197	34548	70143
198	34723	69971
199	34915	69831
200	35112	69700
201	35288	69529
202	35464	69356
203	35636	69177
204	35819	69017
205	35999	68853
206	36178	68687
207	36360	68525
208	36560	68397
209	36749	68249
210	36948	68117
211	37141	67976
212	37359	67878
213	37542	67716
214	37730	67563
215	37914	67403
216	38118	67279
217	38293	67102
218	38498	66977
219	38682	66815
220	38889	66692
221	39055	66500
222	39244	66346
223	39413	66157
224	39607	66013
225	39786	65841
226	39964	65667
227	40137	65488
228	40334	65345
229	40516	65179
230	40715	65039
231	40908	64889
232	41110	64752
233	41308	64610
234	41494	64449
235	41703	64321
236	41908	64188
237	42092	64022
238	42275	63855
239	42458	63687
240	42657	63543
241	42836	63369
242	43019	63201
243	43218	63057
244	43412	62903
245	43600	62742
246	43844	62660
247	44078	62563
248	44346	62512
249	44538	62353
250	44714	62172
251	44999	62141
252	45199	61992
253	45389	61829
254	45650	61762
255	45827	61581
256	46004	61398
257	46255	61314
258	46482	61198
259	46673	61034
260	46908	60927
261	47100	60763
262	47278	60581
263	47561	60532
264	47807	60435
265	48050	60333
266	48298	60237
267	48525	60113
268	48778	60021
269	49003	59892
270	49174	59698
271	49431	59608
272	49669	59494
273	49846	59305
274	50031	59128
275	50214	58947
276	50394	58763
277	50566	58569
278	50757	58398
