,hash,x,y,culture_100m,culture_250m,culture_500m,culture_750m,culture_1km
0,120132230303223,56.44816776349822,35.61218261718729,0,0,0,0,0
1,120132230332230,56.35678945361427,35.71105957031227,0,0,0,0,0
2,120132231322113,56.387273366890355,36.29333496093728,0,0,0,0,0
3,120132231331111,56.442082727741266,36.55700683593729,0,0,0,0,0
4,120132231331113,56.43599671357964,36.55700683593729,0,0,0,0,0
5,120132232030210,56.222369123421004,35.35949707031228,0,0,0,0,0
6,120132232033332,56.15498085087979,35.49133300781227,0,0,0,0,0
7,120132232101331,56.30796424507484,35.67810058593728,0,0,0,0,0
8,120132232121031,56.23460877186107,35.63415527343727,0,0,0,0,0
9,120132232121033,56.22848943841458,35.63415527343727,0,0,0,0,0
10,120132232121100,56.24684449446998,35.64514160156229,0,0,0,0,0
11,120132232121101,56.24684449446998,35.65612792968728,0,0,0,0,0
12,120132232121103,56.240727123849766,35.65612792968728,0,0,0,0,0
13,120132232121120,56.23460877186107,35.64514160156229,0,0,0,0,0
14,120132232121122,56.22848943841458,35.64514160156229,0,0,0,0,0
15,120132232121123,56.22848943841458,35.65612792968728,0,0,0,0,0
16,120132232121211,56.222369123421004,35.63415527343727,0,0,0,0,0
17,120132232121300,56.222369123421004,35.64514160156229,0,0,0,0,0
18,120132232121301,56.222369123421004,35.65612792968728,0,0,0,0,0
19,120132232121302,56.216247826791104,35.64514160156229,0,0,0,0,0
20,120132232121303,56.216247826791104,35.65612792968728,0,0,0,0,0
21,120132232123101,56.19787804619133,35.65612792968728,0,0,0,0,0
22,120132232123110,56.19787804619133,35.66711425781229,0,0,0,0,0
23,120132232211110,56.14884875036816,35.49133300781227,0,0,0,0,0
24,120132232211111,56.14884875036816,35.50231933593729,0,0,0,0,0
25,120132232231113,56.04445261538373,35.50231933593729,0,0,0,0,0
26,120132232231123,56.032152025537435,35.48034667968729,0,0,0,0,0
27,120132232231131,56.03830281261055,35.50231933593729,0,0,0,0,0
28,120132232231133,56.032152025537435,35.50231933593729,0,0,0,0,0
29,120132232231313,56.019847498138276,35.50231933593729,0,0,0,0,0
30,120132232232011,56.00138332258332,35.37048339843729,0,0,0,0,0
31,120132232232013,55.99522662785719,35.37048339843729,0,0,0,0,0
32,120132232232100,56.00138332258332,35.38146972656229,0,0,0,0,0
33,120132232300321,56.11203550738394,35.56823730468728,0,0,0,0,0
34,120132232303130,56.08747368182368,35.66711425781229,0,0,0,0,0
35,120132232311123,56.13044655224779,35.83190917968729,0,0,0,0,0
36,120132232312330,56.0628961187875,35.75500488281228,0,0,0,0,0
37,120132232320020,56.03830281261055,35.51330566406228,0,0,0,0,0
38,120132232320021,56.03830281261055,35.52429199218727,0,0,0,0,0
39,120132232320022,56.032152025537435,35.51330566406228,0,0,0,0,0
40,120132232320023,56.032152025537435,35.52429199218727,0,0,0,0,0
41,120132232320200,56.02600025407612,35.51330566406228,0,0,0,0,0
42,120132232320202,56.019847498138276,35.51330566406228,0,0,0,0,0
43,120132232323100,56.00138332258332,35.64514160156229,0,0,0,0,0
44,120132232323101,56.00138332258332,35.65612792968728,0,0,0,0,0
45,120132232330300,56.02600025407612,35.73303222656228,0,0,0,0,0
46,120132232331123,56.032152025537435,35.83190917968729,0,0,0,0,0
47,120132233020312,56.216247826791104,35.93078613281227,0,0,0,0,0
48,120132233022103,56.19175282212417,35.91979980468728,0,0,0,0,0
49,120132233033200,56.1733712570736,36.12854003906229,0,0,0,0,0
50,120132233101300,56.3201764277201,36.34826660156228,0,0,0,0,0
51,120132233110131,56.3323846895464,36.46911621093729,0,0,0,0,0
52,120132233111132,56.32628104869076,36.54602050781227,0,0,0,0,0
53,120132233111133,56.32628104869076,36.55700683593729,0,0,0,0,0
54,120132233111301,56.3201764277201,36.53503417968729,0,0,0,0,0
55,120132233111310,56.3201764277201,36.54602050781227,0,0,0,0,0
56,120132233111311,56.3201764277201,36.55700683593729,0,0,0,0,0
57,120132233112323,56.25296088381104,36.44714355468729,0,0,0,0,0
58,120132233112330,56.259076291962316,36.45812988281227,0,0,0,0,0
59,120132233120103,56.240727123849766,36.27136230468728,0,0,0,0,0
60,120132233121120,56.23460877186107,36.34826660156228,0,0,0,0,0
61,120132233121121,56.23460877186107,36.35925292968727,0,0,0,0,0
62,120132233122320,56.16111196877527,36.26037597656229,0,0,0,0,0
63,120132233132030,56.18562661597488,36.41418457031227,0,0,0,0,0
64,120132233132110,56.19787804619133,36.45812988281227,0,0,0,0,0
65,120132233200100,56.14884875036816,35.90881347656229,0,0,0,0,0
66,120132233200323,56.105896526072144,35.91979980468728,0,0,0,0,0
67,120132233201201,56.124310520383034,35.96374511718729,0,0,0,0,0
68,120132233201203,56.118173505458,35.96374511718729,0,0,0,0,0
69,120132233202101,56.09975656143395,35.91979980468728,0,0,0,0,0
70,120132233202132,56.08133076667443,35.93078613281227,0,0,0,0,0
71,120132233202303,56.06904198524484,35.91979980468728,0,0,0,0,0
72,120132233202310,56.07518686784432,35.93078613281227,0,0,0,0,0
73,120132233202312,56.06904198524484,35.93078613281227,0,0,0,0,0
74,120132233202320,56.0628961187875,35.90881347656229,0,0,0,0,0
75,120132233202321,56.0628961187875,35.91979980468728,0,0,0,0,0
76,120132233202330,56.0628961187875,35.93078613281227,0,0,0,0,0
77,120132233202332,56.05674926838383,35.93078613281227,0,0,0,0,0
78,120132233203211,56.07518686784432,35.98571777343729,0,0,0,0,0
79,120132233203222,56.05674926838383,35.95275878906228,0,0,0,0,0
80,120132233220111,56.050601433945374,35.94177246093729,0,0,0,0,0
81,120132233220113,56.04445261538373,35.94177246093729,0,0,0,0,0
82,120132233220131,56.03830281261055,35.94177246093729,0,0,0,0,0
83,120132233220133,56.032152025537435,35.94177246093729,0,0,0,0,0
84,120132233220311,56.02600025407612,35.94177246093729,0,0,0,0,0
85,120132233220312,56.019847498138276,35.93078613281227,0,0,0,0,0
86,120132233220313,56.019847498138276,35.94177246093729,0,0,0,0,0
87,120132233220321,56.01369375763567,35.91979980468728,0,0,0,0,0
