month	city_quadkey	avg_price_sqm
2020-03-01	120132230323210	114270.84
2019-09-01	120132231322113	38915.93
2019-10-01	120132231322113	39325.21
2019-11-01	120132231322113	39383.543
2019-12-01	120132231322113	39202.035
2020-01-01	120132231322113	39677.363
2020-02-01	120132231322113	39344.85
2020-03-01	120132231322113	39465.973
2019-09-01	120132231322131	114270.84
2019-10-01	120132231322131	114270.84
2019-11-01	120132231322131	114270.84
2019-12-01	120132231322131	114270.84
2020-01-01	120132231322131	114270.84
2020-02-01	120132231322131	114270.84
2020-03-01	120132231322131	114270.84
2019-10-01	120132231323130	114270.84
2019-11-01	120132231323130	114270.84
2019-12-01	120132231323130	114270.84
2020-01-01	120132231323130	114270.84
2020-02-01	120132231323130	114270.84
2020-03-01	120132231323130	114270.84
2019-09-01	120132231331111	40569.746
2019-10-01	120132231331111	39893.79
2019-11-01	120132231331111	41504.04
2019-12-01	120132231331111	41712.812
2020-01-01	120132231331111	41722.07
2020-02-01	120132231331111	41723.516
2020-03-01	120132231331111	41325.242
2019-09-01	120132231331113	38367.637
2019-10-01	120132231331113	38708.824
2019-11-01	120132231331113	38484.73
2019-12-01	120132231331113	38441.62
2020-01-01	120132231331113	38112.34
2020-02-01	120132231331113	37964.742
2020-03-01	120132231331113	37821.51
2019-10-01	120132232030201	114270.84
2019-11-01	120132232030201	114270.84
2019-12-01	120132232030201	114270.84
2020-01-01	120132232030201	114270.84
2020-02-01	120132232030201	114270.84
2020-03-01	120132232030201	114270.84
2019-09-01	120132232030210	34653.465
2020-01-01	120132232033332	29741.54
2020-02-01	120132232033332	29153.406
2019-09-01	120132232121033	56085.918
2019-10-01	120132232121033	56085.918
2019-11-01	120132232121033	56085.918
2019-12-01	120132232121033	56085.918
2020-01-01	120132232121033	56085.918
2020-02-01	120132232121033	56085.918
2020-03-01	120132232121033	56085.918
2020-03-01	120132232121101	24236.254
2020-01-01	120132232121120	34424.957
2020-02-01	120132232121120	35561.273
2020-03-01	120132232121120	36117.773
2019-09-01	120132232121122	56478.406
2019-10-01	120132232121122	56478.406
2019-11-01	120132232121122	56478.406
2019-12-01	120132232121122	56478.406
2020-01-01	120132232121122	56478.406
2020-02-01	120132232121122	56478.406
2020-03-01	120132232121122	56478.406
2019-10-01	120132232121211	44476.33
2019-11-01	120132232121211	44476.33
2019-09-01	120132232121300	114270.84
2019-10-01	120132232121300	114270.84
2019-11-01	120132232121300	114270.84
2019-12-01	120132232121300	114270.84
2020-01-01	120132232121300	114270.84
2020-02-01	120132232121300	114270.84
2020-03-01	120132232121300	114270.84
2019-09-01	120132232211111	32142.857
2019-10-01	120132232211111	32142.857
