,Address,AdmArea,District,SeatsCount,x,y,TypeObject
0,"город Москва, улица Егора Абакумова, дом 9",Северо-Восточный административный округ,Ярославский район,48,37.71456500043604,55.87900153130337,кафе
1,"город Москва, улица Талалихина, дом 2/1, корпус 1",Центральный административный округ,Таганский район,35,37.6733061300344,55.7382386551547,кафе
2,"город Москва, Абельмановская улица, дом 6",Центральный административный округ,Таганский район,95,37.6696475969381,55.7355114718314,кафе
3,"город Москва, Абрамцевская улица, дом 9, корпус 1",Северо-Восточный административный округ,район Лианозово,40,37.57230613167112,55.90408636984904,кафетерий
4,"город Москва, Угличская улица, дом 17",Северо-Восточный административный округ,район Лианозово,240,37.56694,55.90401880066922,столовая
5,"город Москва, переулок Сивцев Вражек, дом 6/2",Центральный административный округ,район Арбат,10,37.59812754843999,55.747390490525994,кафе
6,"город Москва, Авиамоторная улица, дом 8, строение 1",Юго-Восточный административный округ,район Лефортово,90,37.71542539189803,55.75516375097069,столовая
7,"город Москва, Авиамоторная улица, дом 8, строение 1",Юго-Восточный административный округ,район Лефортово,120,37.71542539189803,55.75516375097069,столовая
8,"город Москва, Авиамоторная улица, дом 49/1",Юго-Восточный административный округ,район Лефортово,24,37.71995037885907,55.74927598927656,кафе
9,"город Москва, Авиамоторная улица, дом 51",Юго-Восточный административный округ,район Лефортово,140,37.72098869657803,55.74632569667249,столовая
10,"город Москва, улица Авиаторов, дом 14",Новомосковский административный округ,поселение Щербинка,32,37.53328086209287,55.51401055012196,кафе
11,"город Москва, улица Авиаторов, дом 16",Новомосковский административный округ,поселение Щербинка,270,37.53383918241649,55.51361335283005,столовая
12,"город Москва, улица Авиаторов, дом 18",Новомосковский административный округ,поселение Щербинка,320,37.5346897351479,55.51344189360385,столовая
13,"город Москва, Азовская улица, дом 4",Юго-Западный административный округ,район Зюзино,2,37.60208371306162,55.660402459563905,предприятие быстрого обслуживания
14,"город Москва, Большая Академическая улица, дом 65",Северный административный округ,район Коптево,160,37.54761,55.840266,ресторан
15,"город Москва, Филипповский переулок, дом 15/5",Центральный административный округ,район Арбат,20,37.598353618148295,55.750590675832086,кафе
16,"город Москва, Алтайская улица, дом 33/7",Восточный административный округ,район Гольяново,18,37.8316832687996,55.8207928342225,кафе
17,"город Москва, Алтуфьевское шоссе, дом 14",Северо-Восточный административный округ,район Отрадное,110,37.58583217527016,55.85575028944077,кафе
18,"город Москва, Алтуфьевское шоссе, дом 14",Северо-Восточный административный округ,район Отрадное,150,37.5858265787149,55.8556644498222,кафе
19,"город Москва, Алтуфьевское шоссе, дом 42Б",Северо-Восточный административный округ,район Отрадное,120,37.589045000000006,55.872932791537956,столовая
20,"город Москва, Алтуфьевское шоссе, дом 56",Северо-Восточный административный округ,Алтуфьевский район,6,37.58783336201571,55.88080528015208,кафетерий
21,"город Москва, Алтуфьевское шоссе, дом 102Б",Северо-Восточный административный округ,район Бибирево,20,37.59132052872169,55.90406171774882,буфет
22,"город Москва, улица Амундсена, дом 10",Северо-Восточный административный округ,район Свиблово,192,37.657212875944,55.8530419802775,столовая
23,"город Москва, Анадырский проезд, дом 55",Северо-Восточный административный округ,Лосиноостровский район,240,37.704196,55.879103,столовая
24,"город Москва, Ангарская улица, дом 1, корпус 2",Северный административный округ,район Западное Дегунино,120,37.50979918389434,55.87179217383281,кафе
25,"город Москва, Ангарская улица, дом 39",Северный административный округ,Дмитровский район,65,37.5245215708017,55.8791123625771,ресторан
26,"город Москва, проспект Андропова, дом 17, корпус 2",Южный административный округ,район Нагатинский Затон,240,37.668205509946866,55.683199295785435,столовая
27,"город Москва, проспект Андропова, дом 26",Южный административный округ,район Нагатино-Садовники,45,37.6630949603141,55.6805126682781,кафе
28,"город Москва, проспект Андропова, дом 30",Южный административный округ,район Нагатино-Садовники,4,37.6627060400079,55.6788166451702,кафе
29,"город Москва, проспект Андропова, дом 35А",Южный административный округ,район Нагатинский Затон,45,37.66626689310591,55.67396575768212,кафе
