,hash,x,y,food_100m,food_250m,food_500m,food_750m,food_1km
0,120132230303223.0,56.44816776349822,35.61218261718729,0.0,0.0,0.0,0.0,0.0
1,120132230332230.0,56.35678945361427,35.71105957031227,0.0,0.0,0.0,0.0,0.0
2,120132231322113.0,56.387273366890355,36.29333496093728,0.0,0.0,0.0,0.0,0.0
3,120132231331111.0,56.442082727741266,36.55700683593729,0.0,0.0,0.0,0.0,0.0
4,120132231331113.0,56.43599671357964,36.55700683593729,0.0,0.0,0.0,0.0,0.0
5,120132232030210.0,56.222369123421004,35.35949707031228,0.0,0.0,0.0,0.0,0.0
6,120132232033332.0,56.15498085087979,35.49133300781227,0.0,0.0,0.0,0.0,0.0
7,120132232101331.0,56.30796424507484,35.67810058593728,0.0,0.0,0.0,0.0,0.0
8,120132232121031.0,56.23460877186107,35.63415527343727,0.0,0.0,0.0,0.0,0.0
9,120132232121033.0,56.22848943841458,35.63415527343727,0.0,0.0,0.0,0.0,0.0
10,120132232121100.0,56.24684449446998,35.64514160156229,0.0,0.0,0.0,0.0,0.0
11,120132232121101.0,56.24684449446998,35.65612792968728,0.0,0.0,0.0,0.0,0.0
12,120132232121103.0,56.240727123849766,35.65612792968728,0.0,0.0,0.0,0.0,0.0
13,120132232121120.0,56.23460877186107,35.64514160156229,0.0,0.0,0.0,0.0,0.0
14,120132232121122.0,56.22848943841458,35.64514160156229,0.0,0.0,0.0,0.0,0.0
15,120132232121123.0,56.22848943841458,35.65612792968728,0.0,0.0,0.0,0.0,0.0
16,120132232121211.0,56.222369123421004,35.63415527343727,0.0,0.0,0.0,0.0,0.0
17,120132232121300.0,56.222369123421004,35.64514160156229,0.0,0.0,0.0,0.0,0.0
18,120132232121301.0,56.222369123421004,35.65612792968728,0.0,0.0,0.0,0.0,0.0
19,120132232121302.0,56.216247826791104,35.64514160156229,0.0,0.0,0.0,0.0,0.0
20,120132232121303.0,56.216247826791104,35.65612792968728,0.0,0.0,0.0,0.0,0.0
21,120132232123101.0,56.19787804619133,35.65612792968728,0.0,0.0,0.0,0.0,0.0
22,120132232123110.0,56.19787804619133,35.66711425781229,0.0,0.0,0.0,0.0,0.0
23,120132232211110.0,56.14884875036816,35.49133300781227,0.0,0.0,0.0,0.0,0.0
24,120132232211111.0,56.14884875036816,35.50231933593729,0.0,0.0,0.0,0.0,0.0
25,120132232231113.0,56.04445261538373,35.50231933593729,0.0,0.0,0.0,0.0,0.0
26,120132232231123.0,56.032152025537435,35.48034667968729,0.0,0.0,0.0,0.0,0.0
27,120132232231131.0,56.03830281261055,35.50231933593729,0.0,0.0,0.0,0.0,0.0
28,120132232231133.0,56.032152025537435,35.50231933593729,0.0,0.0,0.0,0.0,0.0
29,120132232231313.0,56.019847498138276,35.50231933593729,0.0,0.0,0.0,0.0,0.0
30,120132232232011.0,56.00138332258332,35.37048339843729,0.0,0.0,0.0,0.0,0.0
31,120132232232013.0,55.99522662785719,35.37048339843729,0.0,0.0,0.0,0.0,0.0
32,120132232232100.0,56.00138332258332,35.38146972656229,0.0,0.0,0.0,0.0,0.0
33,120132232300321.0,56.11203550738394,35.56823730468728,0.0,0.0,0.0,0.0,0.0
34,120132232303130.0,56.08747368182368,35.66711425781229,0.0,0.0,0.0,0.0,0.0
35,120132232311123.0,56.13044655224779,35.83190917968729,0.0,0.0,0.0,0.0,0.0
36,120132232312330.0,56.0628961187875,35.75500488281228,0.0,0.0,0.0,0.0,0.0
37,120132232320020.0,56.03830281261055,35.51330566406228,0.0,0.0,0.0,0.0,0.0
38,120132232320021.0,56.03830281261055,35.52429199218727,0.0,0.0,0.0,0.0,0.0
39,120132232320022.0,56.032152025537435,35.51330566406228,0.0,0.0,0.0,0.0,0.0
40,120132232320023.0,56.032152025537435,35.52429199218727,0.0,0.0,0.0,0.0,0.0
41,120132232320200.0,56.02600025407612,35.51330566406228,0.0,0.0,0.0,0.0,0.0
42,120132232320202.0,56.019847498138276,35.51330566406228,0.0,0.0,0.0,0.0,0.0
43,120132232323100.0,56.00138332258332,35.64514160156229,0.0,0.0,0.0,0.0,0.0
44,120132232323101.0,56.00138332258332,35.65612792968728,0.0,0.0,0.0,0.0,0.0
45,120132232330300.0,56.02600025407612,35.73303222656228,0.0,0.0,0.0,0.0,0.0
46,120132232331123.0,56.032152025537435,35.83190917968729,0.0,0.0,0.0,0.0,0.0
47,120132233020312.0,56.216247826791104,35.93078613281227,0.0,0.0,0.0,0.0,0.0
48,120132233022103.0,56.19175282212417,35.91979980468728,0.0,0.0,0.0,0.0,0.0
49,120132233033200.0,56.1733712570736,36.12854003906229,0.0,0.0,0.0,0.0,0.0
50,120132233101300.0,56.3201764277201,36.34826660156228,0.0,0.0,0.0,0.0,0.0
