month	city_quadkey	avg_price_sqm
2020-03-01	120132230323210	33096.707
2019-09-01	120132231322113	38509.777
2019-10-01	120132231322113	38509.777
2019-11-01	120132231322113	39760.348
2019-12-01	120132231322113	39760.348
2020-01-01	120132231322113	40515.754
2020-02-01	120132231322113	40515.754
2020-03-01	120132231322113	40515.754
2019-09-01	120132231322131	50458.75
2019-10-01	120132231322131	46308.12
2019-11-01	120132231322131	44695.016
2019-12-01	120132231322131	40608.555
2020-01-01	120132231322131	50868.45
2020-02-01	120132231322131	53468.13
2020-03-01	120132231322131	50458.75
2019-10-01	120132231323130	46308.12
2019-11-01	120132231323130	44695.016
2019-12-01	120132231323130	40608.555
2020-01-01	120132231323130	50868.45
2020-02-01	120132231323130	50868.45
2020-03-01	120132231323130	50868.45
2019-09-01	120132231331111	40328.105
2019-10-01	120132231331111	41083.508
2019-11-01	120132231331111	39750.75
2019-12-01	120132231331111	39750.75
2020-01-01	120132231331111	39731.785
2020-02-01	120132231331111	39731.785
2020-03-01	120132231331111	39750.75
2019-09-01	120132231331113	37634.312
2019-10-01	120132231331113	37634.312
2019-11-01	120132231331113	37634.312
2019-12-01	120132231331113	37634.312
2020-01-01	120132231331113	37634.312
2020-02-01	120132231331113	37634.312
2020-03-01	120132231331113	37634.312
2019-10-01	120132232030201	25919.36
2019-11-01	120132232030201	23877.469
2019-12-01	120132232030201	23877.469
2020-01-01	120132232030201	25919.36
2020-02-01	120132232030201	25919.36
2020-03-01	120132232030201	33430.7
2019-09-01	120132232030210	34278.527
2020-01-01	120132232033332	27373.996
2020-02-01	120132232033332	27373.996
2019-09-01	120132232121033	50433.91
2019-10-01	120132232121033	50433.91
2019-11-01	120132232121033	50433.91
2019-12-01	120132232121033	50433.91
2020-01-01	120132232121033	50433.91
2020-02-01	120132232121033	50433.91
2020-03-01	120132232121033	50433.91
2020-03-01	120132232121101	28846.805
2020-01-01	120132232121120	35352.188
2020-02-01	120132232121120	36153.42
2020-03-01	120132232121120	36513.246
2019-09-01	120132232121122	61366.08
2019-10-01	120132232121122	61507.867
2019-11-01	120132232121122	61318.984
2019-12-01	120132232121122	63774.715
2020-01-01	120132232121122	63045.152
2020-02-01	120132232121122	63710.508
2020-03-01	120132232121122	64241.51
2019-10-01	120132232121211	42676.285
2019-11-01	120132232121211	42676.285
2019-09-01	120132232121300	33096.707
2019-10-01	120132232121300	28531.223
2019-11-01	120132232121300	25919.36
2019-12-01	120132232121300	25301.07
2020-01-01	120132232121300	31742.125
2020-02-01	120132232121300	32500.854
2020-03-01	120132232121300	33096.707
2019-09-01	120132232211111	32035.99
2019-10-01	120132232211111	32035.99
2019-11-01	120132232211111	32035.99
2019-12-01	120132232211111	32035.99
2020-01-01	120132232211111	32035.99
2019-09-01	120132232231113	38193.832
2019-10-01	120132232231113	36235.23
2019-09-01	120132232231133	52091.773
2020-03-01	120132232231133	60089.387
2019-09-01	120132232232011	44306.5
2019-10-01	120132232232011	44428.6
2019-10-01	120132232232100	40148.574
2019-11-01	120132232232100	38204.668
2019-12-01	120132232232100	38204.668
2020-01-01	120132232232100	38883.582
2020-02-01	120132232232100	38702.926
2020-03-01	120132232232100	39004.03
2019-12-01	120132232300321	22936.523
2020-01-01	120132232300321	23257.445
2020-01-01	120132232303130	28585.053
2020-02-01	120132232303130	28846.316
2020-03-01	120132232303130	29468.115
2020-03-01	120132232312330	22761.809
2019-10-01	120132232320020	56131.56
2019-11-01	120132232320020	56492.24
2019-12-01	120132232320020	57157.56
2020-01-01	120132232320020	56005.383
2020-02-01	120132232320020	56103.715
2020-03-01	120132232320020	56103.715
2019-12-01	120132232320022	52481.125
2020-01-01	120132232320022	49476.61
2020-03-01	120132232320022	51231.773
2019-10-01	120132232320023	58055.67
2019-11-01	120132232320023	58020.81
2019-12-01	120132232320023	58162.598
